State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Colorado,West Virginia,2182629.8,87562.8,2000084.3111439813,8470.945317786274
Colorado,Wisconsin,1532783.8,61982.4,1338695.9616789124,5669.77113181657
Colorado,Wyoming,162532.6,6668.1,161757.6351351758,685.0911605725092
Connecticut,Delaware,447993.3,21160.9,375287.28182300454,1589.4520171327251
Connecticut,Florida,1947729.7,83497.6,1638728.30739355,6940.496360725624
Connecticut,Georgia,1573483.4,69640.7,1365963.458060971,5785.256998846465
Connecticut,Hawaii,,,8070993.2686775075,34183.03031439886
Connecticut,Idaho,4141384.9,162687.7,3528396.5517153717,14943.797160206279
Connecticut,Illinois,1676759.9,70776.3,1446484.15758931,6126.285843907667
Connecticut,Indiana,1346097.3,56863.0,1170212.0713570593,4956.192302218134
Connecticut,Iowa,1949772.8,81182.0,1742155.6954745464,7378.541769068667
Connecticut,Kansas,2222669.8,93340.8,1961749.6334308104,8308.586682765785
Connecticut,Kentucky,1364935.9,58023.5,1115537.6109063418,4724.629881485684
Connecticut,Louisiana,2376087.3,99772.7,2069031.2357187176,8762.95582186751
Connecticut,Maine,412835.5,18054.4,369133.26860957645,1563.3879611699708
Connecticut,Maryland,530363.5,24736.6,454694.3560010626,1925.764331298618
Connecticut,Massachusetts,161935.2,7440.6,152641.1728760925,646.4802615928623
Connecticut,Michigan,1157549.6,50086.5,988442.4915455274,4186.344670075175
Connecticut,Minnesota,2086922.9,87229.0,1683804.730616773,7131.408270847509
Connecticut,Mississippi,2113620.8,89132.2,1862923.5005129534,7890.028943348979
Connecticut,Missouri,1936732.6,81637.2,1690171.9516799652,7158.375324762206
Connecticut,Montana,3801227.9,153284.0,3149757.3026892953,13340.148576095839
Connecticut,Nebraska,2253226.6,93328.3,2010064.3049217707,8513.213526727499
Connecticut,Nevada,4521737.2,177767.6,3975924.621881174,16839.210163261443
Connecticut,New Hampshire,237893.8,11114.0,188211.41660627615,797.1307056265813
Connecticut,New Jersey,280790.2,14001.1,243565.70105149085,1031.5723809239612
Connecticut,New Mexico,3398322.2,137975.0,2961593.117414786,12543.217909050858
Connecticut,New York,179986.9,8224.9,147137.55125299207,623.1708053067899
Connecticut,North Carolina,967837.1,44790.3,840538.5021066333,3559.9277736280937
Connecticut,North Dakota,2784857.2,114194.3,2293291.6772284103,9712.764750614444
Connecticut,Ohio,1066024.1,45169.7,882126.172080327,3736.0637876343253
Connecticut,Oklahoma,2537722.9,104852.9,2271675.2631940604,9621.212879410137
Connecticut,Oregon,4901274.5,194070.6,4022879.8354172707,17038.079302943734
Connecticut,Pennsylvania,459124.7,21551.0,391083.3507740665,1656.3530150431052
Connecticut,Rhode Island,117958.3,5918.1,101979.45026191241,431.91296581515843
Connecticut,South Carolina,1323853.9,58250.9,1131361.173308575,4791.647322248083
Connecticut,South Dakota,2712967.1,110770.2,2253608.992608688,9544.69690987209
Connecticut,Tennessee,1609085.3,68628.5,1374858.7449312815,5822.931155003075
Connecticut,Texas,2990840.0,123105.3,2577845.9270480676,10917.93569102711
Connecticut,Utah,3665264.9,145834.9,3260099.347867062,13807.47959096638
Connecticut,Vermont,320581.0,14069.2,274387.57352380693,1162.1120761008292
Connecticut,Virginia,720108.6,33576.1,617370.7740521886,2614.746807750446
Connecticut,Washington,4800220.4,192694.8,3968307.1997048315,16806.948139926346
Connecticut,West Virginia,1040543.7,45380.2,847550.3606486864,3589.625056865025
Connecticut,Wisconsin,1678102.5,71113.6,1376008.1180463943,5827.799088196493
Connecticut,Wyoming,2960190.0,119760.6,2665806.0780042796,11290.472800959302
Delaware,Florida,1551563.7,65323.2,1264145.2816041023,5354.027075029139
Delaware,Georgia,1177317.4,51466.3,1004061.0811898746,4252.493990921821
Delaware,Hawaii,,,7903426.278610671,33473.334827056955
Delaware,Idaho,3960503.0,156030.1,3403205.3576344782,14413.575632334261
Delaware,Illinois,1383642.7,60305.8,1220920.4910573838,5170.957373890096
Delaware,Indiana,1052980.1,46392.5,931832.4366515095,3946.5844375828638
Delaware,Iowa,1768890.9,74524.4,1562436.350277615,6617.377483528722
Delaware,Kansas,1929552.6,82870.3,1735798.2487956504,7351.616112546283
Delaware,Kentucky,1027055.5,43594.4,825944.8147895966,3498.1192155794683
Delaware,Louisiana,1988695.6,83017.1,1717324.30457081,7273.373525241077
Delaware,Maine,856335.2,38922.9,744254.6667318166,3152.1374120406354
Delaware,Maryland,106354.1,5621.1,97448.32312473122,412.72230970474396
Delaware,Massachusetts,605434.8,28309.1,520040.2048416851,2202.52322050596
Delaware,Michigan,1075422.1,45987.0,866157.5839678341,3668.4321203343566
Delaware,Minnesota,1906041.1,80571.4,1585738.5857420238,6716.0693043191595
Delaware,Mississippi,1726229.1,72376.6,1518526.1740330383,6431.404972375221
Delaware,Missouri,1643615.4,71166.7,1444317.8506479023,6117.1108968617045
Delaware,Montana,3620346.1,146626.4,3059759.0383507204,12958.979456544226
Delaware,Nebraska,2072344.7,86670.7,1819562.1450294477,7706.380849536485
Delaware,Nevada,4340855.3,171110.0,3807729.7207082934,16126.855287705714
Delaware,New Hampshire,681393.5,31982.5,561295.1450966614,2377.2500262917424
Delaware,New Jersey,181437.6,8493.3,139240.63744542032,589.7250527100155
Delaware,New Mexico,3105205.0,127504.5,2720979.894233553,11524.150140283284
Delaware,New York,489342.9,21991.4,425959.401050615,1804.063345626134
Delaware,North Carolina,571671.1,26615.9,465324.0503938914,1970.784213432952
Delaware,North Dakota,2603975.4,107536.7,2213775.42848728,9375.990050063774
Delaware,Ohio,771245.6,34654.9,643650.0289944484,2726.047181623546
Delaware,Oklahoma,2244605.7,94382.4,1997117.3715009145,8458.37945576858
Delaware,Oregon,4720392.7,187413.0,3921973.820621654,16610.71265204465
Delaware,Pennsylvania,207632.8,10912.6,169366.51075507354,717.3169867273702
Delaware,Rhode Island,552679.4,25815.5,448274.0991330241,1898.5726551516316
Delaware,South Carolina,927687.9,40076.5,756651.4144582012,3204.641284764146
Delaware,South Dakota,2532085.2,104112.6,2130786.742402278,9024.508556056708
Delaware,Tennessee,1221693.6,51872.9,1056564.8518748411,4474.862902058151
Delaware,Texas,2603448.3,106349.7,2252532.9850345342,9540.139701322734
Delaware,Utah,3484383.1,139177.3,3094937.068016389,13107.968758657646
Delaware,Vermont,766837.4,35053.5,613488.5977867411,2598.304649449727
Delaware,Virginia,323942.7,15401.7,242423.9376579134,1026.736677139398
Delaware,Washington,4619338.6,186037.2,3889542.5793100945,16473.35680648981
Delaware,West Virginia,711692.2,30627.3,537843.2317392759,2277.924275601639
Delaware,Wisconsin,1497220.7,64456.0,1242483.8531484874,5262.284554511241
Delaware,Wyoming,2779308.2,113103.0,2492775.5368877277,10557.637567995082
Florida,Georgia,418844.3,19422.7,376473.3561624642,1594.4753908057307
Florida,Hawaii,,,7307829.132257707,30950.805736620878
Florida,Idaho,3915960.6,152329.1,3160313.8040493936,13384.858464209197
Florida,Illinois,1364178.9,58899.8,1156295.3320513638,4897.250818099894
Florida,Indiana,1246905.7,53169.6,1051343.1767302935,4452.747572034185
Florida,Iowa,1799690.9,78647.6,1493298.5393820119,6324.5585197355795
Florida,Kansas,1672546.4,73128.4,1408858.141121212,5966.928597689839
Florida,Kentucky,1028073.7,46239.1,867256.1532728147,3673.084884449568
Florida,Louisiana,714039.7,29206.5,651746.836583366,2760.3395431766094
Florida,Maine,2344390.0,101180.1,2006462.8108876569,8497.960140230076
Florida,Maryland,1443373.0,60128.8,1186185.2223767715,5023.8432947722085
Florida,Massachusetts,2093489.7,90566.3,1783887.011372389,7555.286165812471
