indicator_id,indicator_name,unit,workbook,sheet,min_year,max_year,observations
petroleum,Petroleum,"excluding biofuels, total CO2 emissions, million metric tons CO2",按来源划分的二氧化碳排放总量.xlsx,Petroleum,1960,2023,3328
petroleum-expenditures,All petroleum products total expenditures,million dollars,石油和天然气价格和支出.xlsx,Petroleum expenditures,1970,2023,2808
petroleum-prices,All petroleum products average price,"all sectors, dollars per million Btu",石油和天然气价格和支出.xlsx,Petroleum prices,1970,2023,2808
prices,Motor gasoline average price,"all sectors, dollars per million Btu",车用汽油价格和支出.xlsx,Prices,1970,2023,2808
real-gdp,Real gross domestic product (GDP),million chained (2017) dollars,能源系列指标.xlsx,Real GDP,1997,2023,1404
renewable-diesel,Renewable diesel production,thousand barrels,物理单元的一次能源生产——生物燃料.xlsx,Renewable diesel,1960,2023,3328
residential,Total energy CO2 emissions for the residential sector,million metric tons of CO2,按部门划分的二氧化碳排放总量.xlsx,Residential,1960,2023,3328
residential,Electricity consumed by (sales to ultimate customers in) the residential sector,million kilowatthours,向最终客户销售电力、总和住宅、总和人均.xlsx,Residential,1960,2023,3328
residential-per-capita,Electricity consumed by (sales to ultimate customers in) the residential sector per capita,kilowatthours,向最终客户销售电力、总和住宅、总和人均.xlsx,Residential per capita,1960,2023,3328
residential-sector,Total energy consumption in the residential sector,billion Btu,按最终用途部门划分的总能源消耗.xlsx,Residential sector,1960,2023,3328
residential-sector,Total energy average price in the residential sector,dollars per million Btu,按最终用途部门划分的能源总价格.xlsx,Residential sector,1970,2023,2808
residential-sector,Total energy expenditures in the residential sector,million dollars,按最终用途部门分列的能源总支出.xlsx,Residential sector,1970,2023,2808
residential-sector,Total energy consumption per capita in the residential sector,million Btu,按最终用途部门分列的人均能源消耗总量.xlsx,Residential sector,1960,2023,3328
solar-energy,Solar energy total consumption,billion Btu,按来源划分的可再生能源消费.xlsx,Solar energy,1960,2023,3328
sports-factors-avg-driving-time-to-nfl-states,Average driving time to other NFL states,seconds,state_transport_stats.csv,driving_times,2023,2023,23
sports-factors-avg-flight-time-to-nfl-states,Average flight time to other NFL states,seconds,state_transport_stats.csv,flight_times,2023,2023,23
sports-factors-nfl-stadium-capacity,NFL stadium average capacity,seats,nfl_stadium_capacity.csv,data,2023,2023,23
sports-factors-peak-public-transport-capacity,Peak public transportation capacity,passengers per hour,peak_capacity_by_state_2023.csv,data,2023,2023,56
sports-factors-stadium-hotel-distance-avg,Average distance from NFL stadium to nearest hotels,meters,nfl_stadium_hotels_from_gmaps.csv,data,2023,2023,22
state-waste-data-raw-data-table-landfilled-disposed-msw-tons,Municipal solid waste landfilled or disposed,short tons,State Waste Data.xlsx,Raw Data Table,2023,2023,32
state-waste-data-raw-data-table-recycled-msw-tons,Municipal solid waste recycled,short tons,State Waste Data.xlsx,Raw Data Table,2023,2023,32
state-waste-data-raw-data-table-recycling-rate-if-reported-calculatable,Municipal solid waste recycling rate,share of total MSW,State Waste Data.xlsx,Raw Data Table,2023,2023,25
state-waste-data-raw-data-table-total-msw-generated-tons,Municipal solid waste generated,short tons,State Waste Data.xlsx,Raw Data Table,2023,2023,28
total,Total energy CO2 emissions,million metric tons of CO2,按部门划分的二氧化碳排放总量.xlsx,Total,1960,2023,3328
