region,barrels,barrels-per-capita,biodiesel,biomass,btu,btu-biofuels,btu-coal,btu-crude-oil,btu-natural-gas,btu-nuclear-electric-power,btu-other-renewables,btu-per-capita,btu-total-primary-energy,btu-total-renewables,btu-wood-and-waste,cdd,co2-co2-co2-per-billion-btu,co2-co2-co2-per-million-dollars,co2-co2-per-capita,co2-co2-total-co2,coal,coal-expenditures,coal-prices,commercial,commercial-sector,crude-oil,cubic-feet,cubic-feet-per-capita,current-dollar-gdp,electric-power,electricity-expenditures,electricity-prices,expenditures,expenditures-per-capita,fuel-ethanol,gdp-energy-consumption-per-real-gdp,gdp-expenditures,gdp-expenditures-per-capita,gdp-expenditures-per-gdp,gdp-prices,gdp-real-gdp,gdp-total-consumption,geothermal,hdd,hydropower,industrial,industrial-sector,natural-gas,natural-gas-expenditures,natural-gas-prices,nuclear,nuclear-electric-power,petroleum,petroleum-expenditures,petroleum-prices,prices,real-gdp,renewable-diesel,residential,residential-per-capita,residential-sector,solar-energy,total,total-consumption,total-per-capita,total-population,total-renewable-energy,transportation,transportation-sector,wind-energy
NH,30142.0,21.5,155.0,31020.0,106742.5,842.0,0.0,0.0,0.0,99658.0,7968.0,76.15,132967.0,33309.0,24499.0,341.0,39.0,145.0,9.7,13.5,612.7333333333333,9.9,5.4,1.4,16258.01,0.0,57685.0,41.1,114100.8,1.9,2440.5,67.28,2372.8,1692.2,0.0,3.16,7266.3,5182.1,6.37,32.28,93466.7,294907.0,29.0,6535.0,5431.0,0.8,9503.417500000001,19864.033333333333,617.2,10.38,99658.0,9535.0,73698.6,4339.4,28.2,28.74,93466.7,0.0,2328.75,3320.0,23298.379999999997,1105.0,3591.3160000000003,147558.65,7582.0,1402.0,38988.0,6.9,26567.905000000002,1404.0
NJ,154007.0,16.4,0.0,55964.0,771872.5,0.0,0.0,0.0,0.0,296162.0,18444.0,82.30000000000001,335370.0,39207.0,20763.0,844.0,48.5,137.4,9.7,91.2,0.0,0.0,0.0,9.5,132764.7725,0.0,694876.0,74.1,806665.2,13.5,10761.9,44.87,12175.9,1298.1,0.0,2.99,36670.7,3909.6,4.55,25.2,663888.5,1982296.0,466.0,4418.0,40.0,9.3,65253.100000000006,240440.0,5471.9,8.0,296162.0,28335.0,393657.6,20909.6,27.0,28.19,663888.5,0.0,14214.4,3029.0,135165.1775,17876.0,21595.06,991253.65,7580.0,9380.0,74408.0,45.0,171634.96,63.0
NM,48572.0,22.9,0.0,17018.0,299504.5,13844.0,147100.0,3786325.0,3634458.0,0.0,63260.0,141.2,7651766.0,83883.0,6778.0,1309.0,56.7,382.4,19.9,42.2,27725.399999999998,270.8,3.6,1.9,25160.1375,665552.0,328541.0,154.9,135009.6,13.6,2669.5,27.87,3082.0,1453.0,0.0,6.17,10335.8,4872.7,7.66,24.66,110323.7,680489.0,490.0,4403.0,368.0,8.9,63223.0175,1165719.1666666667,1022.5,5.33,0.0,0.0,125851.7,6934.2,27.65,26.74,110323.7,2520.0,3669.15,3459.0,25480.525,11514.0,7758.372,340404.9,13364.0,2121.0,80278.0,15.6,58945.27,50888.0
NV,57110.0,17.8,0.0,13774.0,304095.5,323.0,0.0,1172.0,4.0,0.0,61104.0,94.6,65997.0,64821.0,3393.0,2046.0,56.0,201.3,12.2,39.3,9762.266666666666,150.0,5.12,2.5,32455.345,206.0,288665.0,89.8,245978.8,12.2,5006.0,38.36,4942.3,1537.6,0.0,3.53,15825.9,4923.5,6.43,28.58,195405.6,689433.0,15709.0,3699.0,4500.0,3.1,35170.8575,100558.3,2942.4,9.89,0.0,0.0,148087.8,9188.9,29.99,35.31,195405.6,59.0,6756.0,4203.0,39133.28,39902.0,10836.416000000001,344823.75,11900.0,3214.0,74878.0,18.6,69636.515,994.0
NY,261343.0,13.2,0.0,135868.0,1374293.0,7856.0,0.0,1428.0,8482.0,287690.0,137099.0,69.65,516805.0,219205.0,74250.0,628.0,50.4,92.0,8.4,164.9,1607.8333333333333,19.8,4.1,21.4,246336.435,251.0,1306395.0,66.2,2172009.6,26.0,25482.0,53.57,17730.1,898.3,1383.0,1.92,74130.7,3755.9,3.41,27.05,1791210.7,3436991.0,1185.0,5206.0,97017.0,8.2,82252.67749999999,451637.3666666667,12196.0,9.32,287690.0,27525.0,670952.15,37729.6,26.94,28.14,1791210.7,0.0,25072.35,2539.0,250797.4275,22521.0,42781.909999999996,1718582.55,7064.0,19737.0,272967.0,77.6,298463.56,16377.0
OH,199118.0,16.8,0.0,131879.0,1254479.5,93066.0,46592.0,170078.0,2451692.0,169392.0,21204.0,106.1,3001427.0,163673.0,49403.0,689.0,57.7,259.5,15.6,184.2,138521.1,1591.2,3.85,11.7,157483.3025,29896.0,1362858.0,115.3,884834.2,62.3,16063.2,32.5,15819.2,1337.9,16384.0,4.76,51398.9,4347.0,5.81,21.65,709816.6,3381273.0,3435.0,4886.0,1730.0,36.0,283900.57749999996,1222910.9666666666,8419.5,6.22,169392.0,16207.0,504899.0,27357.0,27.38,28.03,709816.6,0.0,24865.15,4204.0,194088.0975,6420.0,39685.990000000005,1690779.5,12402.0,11824.0,153083.0,57.8,222788.37,9620.0
OK,98603.0,24.3,843.0,53151.0,698410.5,16470.0,40.0,891904.0,3319920.0,0.0,132228.0,171.85,4393809.0,181944.0,33246.0,2073.0,53.5,418.0,21.4,86.9,21265.033333333333,157.6,2.47,3.2,53615.855,156777.0,834017.0,205.2,256689.4,25.3,6316.0,27.47,6115.1,1504.7,0.0,7.31,21259.7,5231.4,8.28,20.3,207923.3,1519146.0,24.0,3150.0,5062.0,23.9,154320.0425,1228730.9333333333,3180.9,4.66,0.0,0.0,257738.0,12766.2,26.54,26.78,207923.3,2164.0,11910.85,5861.0,59033.4,856.0,18086.56,759759.9,16974.0,4064.0,185378.0,30.9,118246.4775,126286.0
OR,67450.0,15.9,19.0,104208.0,342900.0,3564.0,0.0,0.0,97.0,0.0,131854.0,80.65,192922.0,192825.0,57407.0,348.0,44.3,148.4,9.1,38.9,217.36666666666667,3.1,4.73,2.6,43604.887500000004,0.0,306487.0,72.1,318884.1,9.2,5981.5,30.23,6400.9,1504.8,609.0,3.34,19472.9,4577.9,6.11,26.55,261951.5,875020.0,1833.0,5184.0,89835.0,4.5,51709.5075,109090.73333333334,2449.3,7.72,0.0,0.0,156517.3,11736.2,32.74,36.22,261951.5,0.0,10224.0,4806.0,45366.3525,9637.0,15512.45,437612.85,13632.0,4254.0,236062.0,19.6,83018.7625,30550.0
PA,238330.0,18.3,1271.0,149768.0,1559904.0,23570.0,1122315.0,27398.0,8013558.0,787083.0,28267.0,119.85000000000001,10101804.0,151449.0,99612.0,656.0,46.3,251.3,15.4,200.9,116783.63333333335,1359.9,4.42,11.4,134249.3525,4816.0,1875551.0,144.1,976360.8,66.5,17401.3,36.89,15880.8,1219.9,2855.0,4.51,57866.6,4445.2,5.93,23.67,799228.8,3607506.0,2162.0,4952.0,9497.0,48.8,360909.74,3176485.1333333333,9979.1,6.24,787083.0,75305.0,566514.3,31261.3,27.18,29.88,799228.8,81.0,26173.0,4020.0,203978.6575,5491.0,39400.614,1803891.55,10656.0,13018.0,178035.0,56.2,217299.265,11117.0
RI,15309.0,13.9,0.0,9375.0,97029.5,0.0,0.0,0.0,0.0,0.0,4203.0,87.95,8863.0,8863.0,4659.0,566.0,54.6,175.2,10.0,11.1,0.0,0.0,0.0,0.9,11648.5275,0.0,109435.0,99.2,77573.9,3.9,1578.5,63.37,1265.0,1146.4,0.0,2.89,4555.4,4128.4,5.87,31.52,63277.0,182950.0,57.0,5077.0,26.0,0.6,5203.09,37501.63333333333,909.1,8.31,0.0,0.0,38424.6,2327.8,28.54,29.53,63277.0,0.0,1498.5,2714.0,15297.5725,3545.0,2382.024,91557.9,6616.0,1103.0,13579.0,3.8,14798.890000000001,576.0
SC,101176.0,18.8,0.0,122864.0,440441.5,0.0,0.0,0.0,0.0,581365.0,19622.0,81.75,705705.0,124341.0,104718.0,1825.0,39.6,262.4,12.8,68.8,54112.86666666667,587.7,3.62,2.2,74668.05,0.0,337264.0,62.6,327420.1,25.4,8523.2,30.76,8660.1,1607.3,0.0,6.11,23802.9,4417.9,7.27,23.07,262298.5,1603946.0,648.0,2144.0,7504.0,7.3,121910.9175,115633.03333333333,2061.7,5.98,581365.0,55622.0,253590.55,13756.4,25.77,25.88,262298.5,0.0,15449.95,5735.0,89425.41,11470.0,21033.114,802121.85,15071.0,5388.0,142486.0,31.8,121032.00249999999,0.0
SD,22671.0,24.7,0.0,77849.0,111272.5,178518.0,0.0,5171.0,135.0,0.0,48691.0,121.15,235952.0,230646.0,3437.0,806.0,41.5,262.8,16.4,15.1,7416.033333333333,52.2,2.35,0.9,10648.245,909.0,94886.0,103.3,74033.9,2.7,1416.3,30.73,1627.9,1772.8,31428.0,6.06,5314.1,5786.9,7.18,21.31,57275.1,347163.0,1868.0,7369.0,14657.0,3.8,39992.64,33294.066666666666,573.6,5.94,0.0,0.0,57315.35,3359.1,28.02,28.49,57275.1,0.0,2623.5,5713.0,12065.6875,177.0,3774.322,173770.5,14708.0,918.0,126540.0,6.7,25528.74,31989.0
TN,138291.0,19.3,759.0,84416.0,566738.5,25740.0,0.0,984.0,3103.0,396522.0,31262.0,79.25,501599.0,100990.0,43988.0,1356.0,48.8,209.7,12.4,88.5,67462.13333333333,764.2,3.78,3.9,103171.85500000001,173.0,386060.0,54.0,523031.6,22.2,10553.1,31.41,11139.4,1558.3,3806.0,4.88,32020.2,4479.4,6.12,23.31,422087.7,2058049.0,213.0,3152.0,27438.0,13.5,128514.7675,133297.23333333334,2353.7,6.37,396522.0,37937.0,351437.75,19174.5,26.78,27.17,422087.7,0.0,20677.45,5785.0,119949.93000000001,3557.0,26253.302000000003,1029168.45,13856.0,7148.0,115678.0,45.0,170976.04249999998,55.0
TX,1591984.0,51.8,3398.0,266309.0,6102164.5,118759.0,182181.0,11443509.0,14311730.0,425186.0,524902.0,198.55,27104730.0,742124.0,98463.0,3373.0,47.7,319.5,21.8,669.9,273164.06666666665,1694.9,2.1,14.1,393873.61,2011515.0,5196619.0,169.1,2583866.2,185.3,48715.4,29.66,44650.1,1453.1,8409.0,6.74,173908.2,5659.6,6.73,17.37,2097090.4,14137451.0,2478.0,1482.0,2586.0,235.8,1935230.8475,5603928.033333334,14659.3,3.57,425186.0,40680.0,3376333.8,115561.3,18.5,25.47,2097090.4,9562.0,84311.4,5487.0,398436.7075,110891.0,133617.074,7068955.55,16038.0,30728.0,791211.0,223.0,850434.4199999999,408946.0
UT,62206.0,18.1,0.0,15792.0,316982.0,0.0,156571.0,321093.0,318533.0,0.0,23883.0,92.1,825655.0,29458.0,5575.0,549.0,65.7,243.9,16.0,55.0,60417.56666666667,447.0,2.56,3.4,46100.1475,56441.0,285681.0,83.0,281329.1,20.9,2973.8,26.58,4802.1,1394.6,0.0,3.79,14323.6,4159.9,5.09,23.79,225459.4,853951.0,2371.0,7203.0,2624.0,6.5,48238.4675,195162.9,2722.7,10.46,0.0,0.0,162331.3,9308.5,29.8,31.23,225459.4,0.0,5666.35,3290.0,49448.1575,16556.0,9560.278,427099.5,9684.0,3443.0,39674.0,19.5,73365.155,2332.0
VA,160717.0,18.4,22.0,155917.0,751704.5,120.0,282790.0,23.0,87638.0,310037.0,28062.0,86.05,834458.0,153971.0,125789.0,1074.0,47.2,158.3,10.8,94.6,19137.8,282.1,6.03,5.7,195189.6375,4.0,624817.0,71.5,719896.9,21.4,14127.9,31.29,13044.3,1493.4,0.0,4.08,39434.2,4514.7,5.48,23.81,597597.1,2435265.0,1701.0,3632.0,4745.0,10.8,99714.31999999999,246489.5,3798.4,5.94,310037.0,29663.0,403801.35,22302.6,26.32,26.71,597597.1,0.0,21550.85,4934.0,129492.4325,21455.0,34393.242,1217771.9,15149.0,8735.0,183979.0,51.0,194371.2575,160.0
